"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"80",63.5238095238095,"CECO",1050,63.5238095238095,68,0.063,"AMRC-2","ABCO",0,"20160623 05:32:35",3.98,0.07
"81",56.0227272727273,"CECO",880,56.0227272727273,69,0.058,"AMRC-2","ABCO",0,"20160623 05:37:43",4.11,0.065
"82",63.5238095238095,"CECO",1050,63.5238095238095,68,0.063,"AMRC-2","ABCO",0,"20160623 05:32:35",3.98,0.07
"83",58.7755102040816,"CECO",980,58.7755102040816,70,0.228,"AMRC-2","ABCO",0,"20160623 05:41:42",2.03,0.26
"84",58.7755102040816,"CECO",980,58.7755102040816,0,0,"AMRC-2","PIPO",0,NA,NA,NA
"85",60.9090909090909,"CECO",660,60.9090909090909,71,0.068,"AMRC-2","ABCO",0,"20160623 05:44:58",4.16,0.064
"86",60.9090909090909,"CECO",660,60.9090909090909,71,0.068,"AMRC-2","ABCO",0,"20160623 05:44:58",4.16,0.064
"87",60.9090909090909,"CECO",660,60.9090909090909,71,0.068,"AMRC-2","ABCO",0,"20160623 05:44:58",4.16,0.064
"88",67.5471698113208,"CECO",1060,67.5471698113208,72,0.219,"AMRC-2","ABCO",0,"20160623 05:47:43",2.17,0.237
"89",61.830985915493,"CECO",710,61.830985915493,73,0.214,"AMRC-2","ABCO",0,"20160623 05:51:20",2.23,0.238
"9",132.083333333333,"ARPA",1440,132.083333333333,0,0.283,"CLVD-N","ABCO",0,NA,NA,0.298
"90",66.0344827586207,"CECO",1160,66.0344827586207,75,0.198,"AMRC-2","ABCO",0,"20160623 05:59:47",2.36,0.234
"91",73.1578947368421,"ARPA",1140,73.1578947368421,77,0.134,"AMRC-2","ABCO",0,"20160623 06:07:45",2.88,0.152
"92",73.1578947368421,"ARPA",1140,73.1578947368421,77,0.134,"AMRC-2","ABCO",0,"20160623 06:07:45",2.88,0.152
"93",73.1578947368421,"ARPA",1140,73.1578947368421,77,0.134,"AMRC-2","ABCO",0,"20160623 06:07:45",2.88,0.152
"94",65.4464285714286,"CECO",1120,65.4464285714286,78,0.166,"AMRC-2","ABCO",0,"20160623 06:13:07",2.56,0.18
"95",77.3148148148148,"CECO",1080,77.3148148148148,79,0.047,"AMRC-2","ABCO",0,"20160623 06:16:28",4.96,0.036
"96",77.3148148148148,"CECO",1080,77.3148148148148,79,0.047,"AMRC-2","ABCO",0,"20160623 06:16:28",4.96,0.036
"97",79.1666666666667,"CECO",840,79.1666666666667,81,0.32,"AMRC-2","ABCO",0,"20160623 06:27:59",1.64,0.336
"98",92.16,"CECO",1250,92.16,82,0.049,"AMRC-2","ABCO",0,"20160623 06:33:25",4.36,0.054
"99",92.16,"CECO",1250,92.16,0,0,"AMRC-2","ABCO",0,NA,NA,NA
