"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"162",83.2432432432432,"CECO",740,83.2432432432432,134,0.56,"STAR-NW","ABCO",0,"20160706 06:08:38",0.7,0.655
"163",78.018018018018,"CECO",1110,78.018018018018,135,0.242,"STAR-NW","ABCO",0,"20160706 06:11:47",2.08,0.285
"164",78.018018018018,"CECO",1110,78.018018018018,0,0,"STAR-NW","ABCO",0,NA,NA,NA
"166",124.893617021277,"PREM",1410,124.893617021277,0,0,"STAR-NW","ABCO",0,NA,NA,NA
"167",130.467289719626,"PREM",1070,130.467289719626,0,0,"STAR-NW","PIPO",0,NA,NA,NA
"168",140,"CECO",1200,140,0,0,"STAR-NW","PIPO",0,NA,NA,NA
"169",122.857142857143,"CECO",1190,122.857142857143,0,0,"STAR-NW","PIPO",0,NA,NA,NA
"170",160.917431192661,"CEIN",1090,160.917431192661,137,0.127,"STAR-NW","ABCO",0,"20160706 07:04:32",3.01,0.148
"171",147.777777777778,"CEIN",900,147.777777777778,136,0.236,"STAR-NW","PIPO",0,"20160706 07:01:05",2.01,0.265
"172",147.777777777778,"CEIN",900,147.777777777778,138,0.096,"STAR-NW","ABCO",0,"20160706 07:08:30",3.34,0.116
"176",134.561403508772,"CECO",1710,134.561403508772,0,0,"STAR-mid","PIPO",0,NA,NA,NA
"179",137.481481481481,"CECO",1350,137.481481481481,141,0.259,"STAR-S","ABCO",0,"20160707 05:20:19",1.9,0.28
"180",139.545454545455,"CECO",1320,139.545454545455,142,0.121,"STAR-S","PIPO",0,"20160707 05:26:27",3.15,0.124
"182",124.658385093168,"CECO",1610,124.658385093168,143,0.192,"STAR-S","ABCO",0,"20160707 05:38:28",2.38,0.223
"185",160.487804878049,"willow",820,160.487804878049,146,0.094,"STAR-S","ABCO",0,"20160707 06:03:56",3.39,0.103
"186",160.487804878049,"willow",820,160.487804878049,147,0.063,"STAR-S","ABCO",0,"20160707 06:07:09",4.05,0.067
"189",124.658385093168,"CECO",1610,124.658385093168,0,0,"STAR-S","ABCO",0,NA,NA,NA
"19",194.509803921569,"CEIN",1020,194.509803921569,0,0,"CLVD-SW","PIPO",0,NA,NA,NA
"194",88.6666666666667,"CHFO",750,88.6666666666667,163,0.733,"FRDS-SE","PIPO",0,"20160708 06:18:21",0.37,0.791
"195",173.039215686275,"other",1020,173.039215686275,166,0.175,"FRDS-SE","PIPO",0,"20160708 07:01:36",2.43,0.204
"196",29.1489361702128,"CHFO",470,29.1489361702128,168,0.786,"FRDS-SE","PIPO",0,"20160708 07:15:43",0.22,0.864
"197",55.3846153846154,"CHFO",520,55.3846153846154,0,0,"FRDS-SE","PIPO",0,NA,NA,NA
"198",53.5897435897436,"CHFO",780,53.5897435897436,0,0,"FRDS-SE","PIPO",0,NA,NA,NA
"2",115.572519083969,"ARPA",1310,115.572519083969,4,0.031,"CLVD-N","PIPO",0,"20160527 08:38:47",6.2,0.031
"20",83.9583333333333,NA,480,83.9583333333333,0,0,"FRDS-JB","PIPO",0,NA,NA,NA
"202",86.9565217391304,"CECO",1150,86.9565217391304,169,0.291,"AMRC-2","ABCO",0,"20160719 05:39:32",1.65,0.333
"203",86.9565217391304,"CECO",1150,86.9565217391304,170,0.167,"AMRC-2","ABCO",0,"20160719 05:43:00",2.5,0.187
"204",102.203389830508,"CECO",1180,102.203389830508,171,0.117,"AMRC-2","ABCO",0,"20160719 05:46:54",3.17,0.137
"205",78.4821428571429,"CECO",1120,78.4821428571429,172,0.129,"AMRC-2","PIPO",0,"20160719 05:51:37",2.9,0.15
"206",78.4821428571429,"CECO",1120,78.4821428571429,173,0.199,"AMRC-2","ABCO",0,"20160719 05:54:44",2.25,0.235
"207",74.018691588785,"CECO",1070,74.018691588785,174,0.601,"AMRC-2","PIPO",0,"20160719 05:58:44",0.65,0.663
"208",74.018691588785,"CECO",1070,74.018691588785,175,0.348,"AMRC-2","ABCO",0,"20160719 06:00:52",1.37,0.412
"209",68.5714285714286,"CECO",840,68.5714285714286,176,0.535,"AMRC-2","PIPO",0,"20160719 06:04:32",0.9,0.638
"21",83.9583333333333,NA,480,83.9583333333333,0,0,"FRDS-JB","PIPO",0,NA,NA,NA
"210",50.3529411764706,"CECO",850,50.3529411764706,177,0.277,"AMRC-2","ABCO",0,"20160719 06:06:54",2.04,0.316
"211",69.304347826087,"CECO",1150,69.304347826087,178,0.506,"AMRC-2","PIPO",0,"20160719 06:10:55",0.91,0.57
"212",81.747572815534,"CECO",1030,81.747572815534,179,0.446,"AMRC-2","ABCO",0,"20160719 06:13:56",1.17,0.464
"213",81.747572815534,"CECO",1030,81.747572815534,180,0.255,"AMRC-2","ABCO",0,"20160719 06:16:27",2.04,0.255
"214",75,"CECO",1140,75,181,0.548,"AMRC-2","PIPO",0,"20160719 06:18:59",0.81,0.594
"215",89.4690265486726,"CECO",1130,89.4690265486726,182,0.188,"AMRC-2","PIPO",0,"20160719 06:21:38",2.62,0.181
"216",67.3,"CECO",1000,67.3,183,0.358,"AMRC-2","ABCO",0,"20160719 06:24:36",1.41,0.415
