"Sdlg","Species","Fire","FirePatch","Ht2016.cm","Ht2017.cm","Elevation","Slope.Deg","Aspect.deg","BasDia2016.cm","LastYearGrth.cm","Light_File","DIFN.all","ImmedAboveSpp","ImmedAboveHt.cm","ShrubSpp01","ShrubSpp02","ShrubSpp03","Cov1","Cov2","Cov3","Ht1","Ht2","Ht3","Cov1.2","Cov1.3","Ht1.2","Ht1.3","Genus","ShrG1","IAG","Years","Date","LAI","DIFN.53","DataSheet2017","Map","Status","BasDia2017.mm.1","BasDia2017.mm.2","Growth_17","Growth_16","Growth_15","notes","shrubarea1","shrubarea2","shrubarea3","soil_type_dom","soil_series","soil_order","soil_suborder"
"77","ABCO","AMCR","AMCR-2",31,30,1701,15,290,0.59,2.86,"66",0.123,"ARPA",83,"CECO","CECO","CECO",540,260,340,70,71.6666666666667,58.3333333333333,800,1140,70.8333333333333,66.6666666666667,"Abies","Ceanothus","Arcto",8,"20160623 05:24:33",3.03,0.133,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"DONE","4.5","4.4000000000000004","1","3.3","0.7",NA,37800,56666.6666666666,76000,"0","MCE","Andisol","Xerand"
"78","ABCO","AMCR","AMCR-2",38,39,1701,15,290,0.83,3.47,"67",0.115,"ARPA",140,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Abies","Arcto","Arcto",8,"20160623 05:27:29",3.05,0.131,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","6.8","6.4","3.7",NA,"3.5","2016 growth died, so no measurement taken",38614.2857142857,67067.8571428572,80608.3333333333,"0","MCE","Andisol","Xerand"
"79","ABCO","AMCR","AMCR-2",37,35,1701,15,290,0.89,3.8,"",NA,"ARPA",135,"ARPA","CECO","CECO",510,380,300,75.7142857142857,75,52.5,890,1190,75.3571428571429,67.7380952380952,"Abies","Arcto","Arcto",8,NA,NA,NA,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","8.1999999999999993","8","2.6","2","3.7",NA,38614.2857142857,67067.8571428572,80608.3333333333,"0","MCE","Andisol","Xerand"
"80","ABCO","AMCR","AMCR-2",49,NA,1701,15,290,1.1,3.93,"68",0.063,"CECO",100,"CECO","CECO","CECO",370,390,290,66,62,50,760,1050,64,59.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160623 05:32:35",3.98,0.07,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"not found",NA,NA,NA,NA,NA,NA,24420,48640,62300,"0","MCE","Andisol","Xerand"
"81","ABCO","AMCR","AMCR-2",57,NA,1701,15,290,1.27,11.38,"69",0.058,"ARPA",80,"CECO","CECO","CECO",400,310,130,68.5714285714286,50,26,710,840,59.2857142857143,48.1904761904762,"Abies","Ceanothus","Arcto",8,"20160623 05:37:43",4.11,0.065,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,27428.5714285714,42092.8571428572,40480,"0","MCE","Andisol","Xerand"
"82","ABCO","AMCR","AMCR-2",42,NA,1701,15,290,1.68,11.78,"68",0.063,"ARPA",68,"CECO","CECO","CECO",370,390,290,66,62,50,760,1050,64,59.3333333333333,"Abies","Ceanothus","Arcto",8,"20160623 05:32:35",3.98,0.07,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,24420,48640,62300,"0","MCE","Andisol","Xerand"
"83","ABCO","AMCR","AMCR-2",58,NA,1701,14,290,1.27,4,"70",0.228,"CECO",75,"CECO","CECO","CECO",420,340,220,55.7142857142857,66.6666666666667,46,760,980,61.1904761904762,56.1269841269841,"Abies","Ceanothus","Ceanothus",8,"20160623 05:41:42",2.03,0.26,"Shrubs_Summer17_AMRC_2_Sep12",NA,"herbicide",NA,NA,NA,NA,NA,NA,23400,46504.7619047619,55004.4444444444,"0","MCE","Andisol","Xerand"
"84","PIPO","AMCR","AMCR-2",95,NA,1701,14,290,2.75,8.12,"",NA,"none",0,"CECO","CECO","CECO",430,340,220,52.5,66.6666666666667,46,770,990,59.5833333333333,55.0555555555556,"Pinus","Ceanothus","Other",8,NA,NA,NA,"Shrubs_Summer17_AMRC_2_Sep12",NA,"herbicide",NA,NA,NA,NA,NA,NA,22575,45879.1666666666,54505,"0","MCE","Andisol","Xerand"
"85","ABCO","AMCR","AMCR-2",68,NA,1701,14,290,1.72,5.86,"71",0.068,"CECO",70,"CECO","CECO","CECO",300,220,140,72.5,37.5,20,520,660,55,43.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160623 05:44:58",4.16,0.064,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,21750,28600,28600,"0","MCE","Andisol","Xerand"
"86","ABCO","AMCR","AMCR-2",45,NA,1701,14,290,1.18,3.57,"71",0.068,"CECO",80,"CECO","CECO","CECO",300,220,140,72.5,37.5,20,520,660,55,43.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160623 05:44:58",4.16,0.064,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,21750,28600,28600,"0","MCE","Andisol","Xerand"
"87","ABCO","AMCR","AMCR-2",72,NA,1701,14,290,2.16,10.67,"71",0.068,"CECO",77,"CECO","CECO","CECO",300,220,140,72.5,37.5,20,520,660,55,43.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160623 05:44:58",4.16,0.064,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,21750,28600,28600,"0","MCE","Andisol","Xerand"
"88","ABCO","AMCR","AMCR-2",47,NA,1701,23,290,0.99,12.58,"72",0.219,"CECO",115,"CECO","CECO","CECO",420,360,280,62,60,50,780,1060,61,57.3333333333333,"Abies","Ceanothus","Ceanothus",8,"20160623 05:47:43",2.17,0.237,"Shrubs_Summer17_AMRC_KindleFire_Sep12_1234",NA,"herbicided",NA,NA,NA,NA,NA,NA,26040,47580,60773.3333333333,"0","MCE","Andisol","Xerand"
"89","ABCO","AMCR","AMCR-2",55,NA,1701,23,290,1.05,7,"73",0.214,"ARPA",90,"CECO","CECO","CECO",360,250,120,60,38,27.5,610,730,49,41.8333333333333,"Abies","Ceanothus","Arcto",8,"20160623 05:51:20",2.23,0.238,"Shrubs_Summer17_AMRC_2_Sep12",NA,"herbicide",NA,NA,NA,NA,NA,NA,21600,29890,30538.3333333333,"0","MCE","Andisol","Xerand"
"90","ABCO","AMCR","AMCR-2",41,47,1701,16,290,1.1,4,"75",0.198,"CECO",80,"CECO","CECO","CECO",390,400,370,62.5,65,72,790,1160,63.75,66.5,"Abies","Ceanothus","Ceanothus",8,"20160623 05:59:47",2.36,0.234,"Shrubs_Summer17_AMRC_2_Sep12",NA,"done","8.9","9.1999999999999993","3.7","5","4.0999999999999996",NA,24375,50362.5,77140,"0","MCE","Andisol","Xerand"
