COMP	DATE	TIME	SEEDLING	SPECIES	HEIGHT	DEAD_ALIVE	BAS_DIA_1_mm	BAS_DIA_2_mm	LAST_YR_GR_cm	MINUS_1_GR_cm	MINUS_2_GR_cm	PERC_NEEDLES	NEEDLE_COLOR	BARK	BUDS	Growing?	SUPPRESSED	NOTES	Cut_at_bottom	DEAD	PAIR	death_year
380	8/25/2017	NA	173B	PIPO	45	ALIVE	8.7	8.7	4.4	6	2.8	NA	NA	NA	NA	NA	yes	NA	NA	0	173	2016
380	8/25/2017	NA	177B	PIPO	67	ALIVE	9.2	9.1	5.2	5.9	11.5	NA	NA	NA	NA	NA	yes	NA	NA	0	177	2015
380	8/25/2017	NA	181B	PIPO	69	ALIVE	10	9.3	11	7.6	6.8	NA	NA	NA	NA	NA	yes	NA	NA	0	181	2017
380	8/25/2017	NA	182B	PIPO	30	ALIVE	5.6	5.5	5.3	4.7	5.4	NA	NA	NA	NA	NA	yes	NA	NA	0	182	2015
380	8/29/2017	9:09:00 AM	183-A	ABCO	63	DEAD	10.5	10.6	7	5.6	5.4	95	RED TO TAN	INTACT	INTACT	NO	YES	NA	NA	1	183-A	2016
380	8/29/2017	NA	183B-A	ABCO	62	ALIVE	13.4	13	6.4	3.5	4.8	NA	NA	NA	NA	NA	YES	NA	NA	0	183-A	2016
380	8/25/2017	NA	183B-P	PIPO	54	ALIVE	12.5	12.4	7.4	5.2	7.5	NA	NA	NA	NA	NA	yes	NA	NA	0	183-P	2016
380	8/25/2017	1:11:00 PM	183-P	PIPO	44	DEAD	7.4	7.4	8	4.5	9.4	70	tan	intact	intact	yes	yes	NA	NA	1	183-P	2016
380	8/29/2017	9:22:00 AM	184-A	ABCO	108	DEAD	18.7	19.8	10.4	12.1	10.4	99	red	intact	intact	no	yes	NA	NA	1	184-A	2016
380	8/29/2017	NA	184B-A	ABCO	95	ALIVE	16.6	17.3	8.7	11.7	8.1	NA	NA	NA	NA	NA	yes	NA	NA	0	184-A	2016
380	8/25/2017	NA	184B-P	PIPO	21	ALIVE	4.6	4.6	1.5	2.6	3.2	NA	NA	NA	NA	NA	yes	last year's growth incomplete; still growing	NA	0	184-P	2015
380	8/25/2017	1:18:00 PM	184-P	PIPO	17	DEAD	3.8	3.7	1	3.9	1.1	30	tan	intact	yes	yes	yes	NA	NA	1	184-P	2015
380	8/25/2017	NA	185B-P	PIPO	65	ALIVE	8.6	8.7	9.7	7.9	12.3	NA	NA	NA	NA	NA	yes	NA	NA	0	185-P	2015
380	8/25/2017	1:03:00 PM	185-P	PIPO	69	DEAD	5.5	5.5	1.5	11.2	7.6	1	grey	intact	partial	yes	yes	NA	NA	1	185-P	2015
380	8/25/2017	NA	186B	PIPO	56	ALIVE	7.7	8.2	4.2	4.1	4.7	NA	NA	NA	NA	NA	yes	NA	NA	0	186	2015
180	8/15/2017	9:58:00 AM	18B	ABCO	25	ALIVE	5.2	5.2	4.6	3.7	4.3	NA	NA	NA	NA	NA	NO	NA	NA	0	18	2016
380	8/29/2017	NA	191B	PIPO	58	ALIVE	8.3	8.6	10.9	13.6	10.5	NA	NA	NA	NA	NA	yes	NA	NA	0	191	2016
380	8/29/2017	NA	192B	ABCO	62	ALIVE	9.6	9.4	9.8	8.3	8.9	NA	NA	NA	NA	NA	yes	NA	NA	0	192	2016
380	8/30/2017	NA	193B	ABCO	25	ALIVE	7	7	1	1.1	2.3	NA	NA	NA	NA	NA	yes	NA	NA	0	193	2016
380	8/30/2017	NA	196B	PIPO	84	ALIVE	16	15.6	15.3	2.6	6.9	NA	NA	NA	NA	NA	yes	NA	NA	0	196	2015
380	8/30/2017	NA	197B	ABCO	53	ALIVE	8.1	8	4	3.6	4.5	NA	NA	NA	NA	NA	yes	NA	NA	0	197	2015
380	8/30/2017	NA	198B	ABCO	36	ALIVE	8.2	9	4.7	6.6	6.2	NA	NA	NA	NA	NA	yes	NA	NA	0	198	2017
380	8/30/2017	NA	199B	ABCO	48	ALIVE	10	10.2	4.1	5	7.2	NA	NA	NA	NA	NA	yes	NA	NA	0	199	2016
180	8/15/2017	10:15:00 AM	19B	PIPO	25	ALIVE	3.6	3.6	3.2	5.2	3.8	NA	NA	NA	NA	NA	YES	NA	NA	0	19	2016
180	8/17/2017	NA	1B	PIPO	25	ALIVE	3.5	3.5	5	4	4.4	NA	NA	NA	NA	NA	YES	NA	NA	0	1	2017
380	8/30/2017	NA	200B	PIPO	18	ALIVE	4.1	4.1	2.9	2.8	2	NA	NA	NA	NA	NA	yes	NA	NA	0	200	2016
380	8/30/2017	NA	201B	ABCO	62	ALIVE	11.4	11.6	2.9	2.7	8.7	NA	NA	NA	NA	NA	yes	NA	NA	0	201	2017
380	8/30/2017	NA	202B	PIPO	18	ALIVE	5.1	5.1	3.8	1.2	0.4	NA	NA	NA	NA	NA	yes	NA	NA	0	202	2016
380	8/30/2017	NA	203B	ABCO	22	ALIVE	4.9	4.9	1.3	1.5	1.2	NA	NA	NA	NA	NA	yes	NA	NA	0	203	2016
380	8/30/2017	NA	204B	PIPO	37	ALIVE	9	8.5	3.9	3.3	3.5	NA	NA	NA	NA	NA	yes	not sure where it is	NA	0	204	2015
380	8/30/2017	NA	205B	PIPO	38	ALIVE	4.1	4.3	4.3	4.8	5	NA	NA	NA	NA	NA	yes	not sure where it is	NA	0	205	2016
380	8/30/2017	NA	206B	ABCO	105	ALIVE	12.5	12.7	3.3	4	7.2	NA	NA	NA	NA	NA	yes	NA	NA	0	206	2015
380	8/31/2017	NA	207B	ABCO	35	ALIVE	3.7	3.8	7.6	5.8	6	NA	NA	NA	NA	NA	yes	NA	NA	0	207	2016
380	8/31/2017	NA	208B	ABCO	17	ALIVE	3.1	3.1	3.1	1.3	2.3	NA	NA	NA	NA	NA	yes	NA	NA	0	208	2017
380	8/31/2017	NA	209B	PIPO	84	ALIVE	10.2	9.8	9.1	14.4	7.1	NA	NA	NA	NA	NA	yes	NA	NA	0	209	2017
180	8/15/2017	10:25:00 AM	20B	PIPO	17	ALIVE	3.1	2.9	2.8	3.7	4.1	NA	NA	NA	NA	NA	NA	NA	1	0	20	2017
380	8/31/2017	NA	210B	ABCO	44	ALIVE	8.6	7.8	4.8	5.6	4	NA	NA	NA	NA	NA	yes	NA	NA	0	210	2016
380	8/31/2017	NA	211B	ABCO	17	ALIVE	3.6	3.5	3.6	2.6	2	NA	NA	NA	NA	NA	yes	NA	NA	0	211	2017
380	8/31/2017	NA	212B	ABCO	35	ALIVE	5.6	5.8	5.2	5.3	5	NA	NA	NA	NA	NA	yes	NA	NA	0	212	2017
380	8/31/2017	NA	213B	PIPO	35	ALIVE	6.8	6.7	6.7	4.6	4.6	NA	NA	NA	NA	NA	yes	NA	NA	0	213	2015
180	9/7/2017	NA	215B	ABCO	24	ALIVE	4.5	4.4	1.4	2.8	4.8	NA	NA	NA	NA	NA	yes	NA	NA	0	215	2017
180	9/7/2017	NA	216B	ABCO	61	ALIVE	11.2	11.2	5.7	6.7	4	NA	NA	NA	NA	NA	yes	NA	NA	0	216	2016
180	9/7/2017	NA	217B	ABCO	47	ALIVE	8.6	8.4	8.9	8.6	9.4	NA	NA	NA	NA	NA	yes	NA	NA	0	217	2015
180	9/7/2017	NA	218B	ABCO	34	ALIVE	9.3	8.8	3.7	4.3	4.1	NA	NA	NA	NA	NA	yes	NA	NA	0	218	2016
180	9/7/2017	NA	219B	ABCO	48	ALIVE	8.7	9.1	6.5	5.7	6.6	NA	NA	NA	NA	NA	yes	NA	NA	0	219	2016
180	8/15/2017	11:00:00 AM	21B	PIPO	86	ALIVE	10.4	10.4	16	16.1	12.5	NA	NA	NA	NA	NA	YES	NA	NA	0	21	2016
180	9/7/2017	NA	220B	ABCO	32	ALIVE	7.6	7.3	2.3	5.4	4.2	NA	NA	NA	NA	NA	yes	NA	NA	0	220	2016
180	9/7/2017	NA	221B	ABCO	24	ALIVE	4.4	4.4	2.7	4.4	5.1	NA	NA	NA	NA	NA	yes	NA	NA	0	221	2016
180	9/7/2017	NA	222B	ABCO	21	ALIVE	4.1	4.3	5.2	9.2	2.9	NA	NA	NA	NA	NA	yes	NA	NA	0	222	2017
180	9/7/2017	NA	223B	ABCO	58	ALIVE	8	7.9	8.2	9.8	6.7	NA	NA	NA	NA	NA	yes	NA	NA	0	223	2017
180	9/7/2017	NA	224B	ABCO	24	ALIVE	8.8	8.6	1.8	1.9	0.8	NA	NA	NA	NA	NA	yes	NA	NA	0	224	2016
180	9/7/2017	NA	225B	ABCO	27	ALIVE	8.6	8.6	1.9	1.3	1.2	NA	NA	NA	NA	NA	yes	NA	NA	0	225	2016
180	9/7/2017	NA	226B	ABCO	24	ALIVE	5.4	5.2	3.2	2.9	2.5	NA	NA	NA	NA	NA	yes	NA	NA	0	226	2016
180	9/7/2017	NA	227B	ABCO	35	ALIVE	5.6	5.7	5.3	5.7	5.8	NA	NA	NA	NA	NA	yes	NA	NA	0	227	2016
180	9/7/2017	NA	228B	ABCO	44	ALIVE	5.8	5.9	9.7	8.3	7.8	NA	NA	NA	NA	NA	yes	NA	NA	0	228	2015
180	9/7/2017	NA	229B	ABCO	62	ALIVE	11.4	12.4	8	12.6	15	NA	NA	NA	NA	NA	yes	NA	NA	0	229	2015
180	9/7/2017	NA	230B	ABCO	54	ALIVE	7.6	7.9	5.4	9.7	16.7	NA	NA	NA	NA	NA	yes	NA	NA	0	230	2016
180	9/7/2017	NA	231B	ABCO	43	ALIVE	7.8	7.7	2.2	3.7	7.3	NA	NA	NA	NA	NA	yes	NA	NA	0	231	2015
180	9/7/2017	NA	232B	ABCO	45	ALIVE	10.3	10	3.5	6.2	8.1	NA	NA	NA	NA	NA	yes	NA	NA	0	232	2017
180	9/7/2017	NA	233B	ABCO	24	ALIVE	4	3.9	3.6	4.8	5.3	NA	NA	NA	NA	NA	yes	NA	NA	0	233	2017
180	9/7/2017	NA	234B	ABCO	47	ALIVE	8.9	8.8	5.3	7.2	7.4	NA	NA	NA	NA	NA	yes	NA	NA	0	234	2016
180	9/7/2017	NA	235B	ABCO	37	ALIVE	6.2	5.8	2.8	4.4	7.4	NA	NA	NA	NA	NA	yes	NA	NA	0	235	2016
180	8/17/2017	NA	25B	PIPO	80	ALIVE	10.5	10.7	11.8	11.9	12.1	NA	NA	NA	NA	NA	YES	NA	NA	0	25	2016
180	8/17/2017	NA	26B	PIPO	32	ALIVE	7.6	7.2	5.8	8.6	6.9	NA	NA	NA	NA	NA	YES	NA	NA	0	26	2016
180	8/15/2017	2:47:00 AM	29B	ABCO	50	ALIVE	7.2	7.2	0.7	1.9	7.5	NA	NA	NA	NA	NA	NA	NA	NA	0	29	2016
180	8/15/2017	2:59:00 AM	30B	ABCO	112	ALIVE	15.1	15	5.3	10.1	14.6	NA	NA	NA	NA	NA	YES	swelling at base (above basal diameter measurmnt)	NA	0	30	2017
180	8/15/2017	2:28:00 AM	31B	ABCO	90	ALIVE	13	13.4	2	5.9	13.1	NA	NA	NA	NA	NA	YES	NA	NA	0	31	2015
180	8/15/2017	2:50:00 PM	32B	ABCO	87	ALIVE	11.6	12	0.1	9.5	13.9	NA	NA	NA	NA	NA	YES	NA	NA	0	32	2017
180	8/15/2017	3:03:00 AM	33B	ABCO	26	ALIVE	5.4	4.8	1.8	2.9	3.4	NA	NA	NA	NA	NA	YES	NA	NA	0	33	2016
180	8/23/2017	NA	36B	ABCO	21	ALIVE	3	3.1	4.8	4.3	4.1	NA	NA	NA	NA	NA	yes	NA	NA	0	36	2016
180	8/23/2017	NA	37B	ABCO	33	ALIVE	6	6.6	4.5	3.3	3.9	NA	NA	NA	NA	NA	yes	NA	NA	0	37	2015
180	8/23/2017	NA	39B	PIPO	66	ALIVE	9.8	10.2	10.5	9	7.9	NA	NA	NA	NA	NA	yes	NA	NA	0	39	2016
180	8/17/2017	NA	41B	ABCO	41	ALIVE	10	10	4.9	4.4	3.9	NA	NA	NA	NA	NA	YES	NA	NA	0	41	2017
180	8/15/2017	1:26:00 AM	42B	PIPO	125	ALIVE	22.5	22.6	16	20.5	12.5	NA	NA	NA	NA	NA	YES	NA	NA	0	42	2015
180	8/23/2017	NA	47B	ABCO	16	ALIVE	2	1.8	1.4	2	2.6	NA	NA	NA	NA	NA	yes	NA	NA	0	47	2016
180	8/17/2017	NA	48B	PIPO	62	ALIVE	11.6	12.1	13.2	7.5	12.8	NA	NA	NA	NA	NA	YES	NA	NA	0	48	2015
180	8/17/2017	NA	49B	PIPO	128	ALIVE	29.6	30.2	18	18.2	15.7	NA	NA	NA	NA	NA	YES	NA	NA	0	49	2017
180	8/23/2017	NA	4B	ABCO	24	ALIVE	4.3	4.3	1.6	3	2.2	NA	NA	NA	NA	NA	yes	NA	NA	0	4	2016
180	8/17/2017	NA	50B	PIPO	107	ALIVE	21.3	19.7	17.5	15.7	16.4	NA	NA	NA	NA	NA	YES	NA	NA	0	50	2017
180	8/23/2017	NA	51B	ABCO	21	ALIVE	5.1	4.6	1.5	3.3	2.8	NA	NA	NA	NA	NA	yes	NA	NA	0	51	2017
180	8/23/2017	NA	52B	ABCO	25	ALIVE	3.2	3.1	4.3	4.7	4.4	NA	NA	NA	NA	NA	yes	NA	NA	0	52	2017
180	8/23/2017	NA	55B	ABCO	52	ALIVE	9	8.3	3.3	5.6	9.2	NA	NA	NA	NA	NA	yes	NA	NA	0	55	2017
180	8/23/2017	NA	60B	PIPO	63	ALIVE	11.1	11.1	12.8	9.7	10.9	NA	NA	NA	NA	NA	yes	NA	NA	0	60	2016
180	8/23/2017	NA	61B	PIPO	31	ALIVE	3.7	3.7	3.5	5.9	6	NA	NA	NA	NA	NA	yes	NA	NA	0	61	2016
180	8/15/2017	8:42:00 AM	63B	PIPO	49	ALIVE	5.1	6.6	3.2	3.3	4.9	NA	NA	NA	NA	NA	YES	NA	NA	0	63	2016
180	8/15/2017	8:34:00 AM	64B	PIPO	86	ALIVE	12	11.6	2.4	4.7	10	NA	NA	NA	NA	NA	YES	NA	NA	0	64	2016
180	8/15/2017	9:12:00 AM	67B	PIPO	21	ALIVE	3.7	3.8	4.6	4.8	2.6	NA	NA	NA	NA	NA	YES	NA	NA	0	67	2015
180	8/15/2017	9:37:00 AM	68B	ABCO	83	ALIVE	21.3	22.3	6.7	7.1	8.7	NA	NA	NA	NA	NA	YES	NA	NA	0	68	2016
180	8/15/2017	10:03:00 AM	70B	PIPO	14	ALIVE	4.9	4.5	1.7	2.1	3.1	NA	NA	NA	NA	NA	NO	NA	NA	0	70	2015
180	8/15/2017	10:21:00 AM	71B	PIPO	25	ALIVE	4.4	4.3	4.2	5.7	4.7	NA	NA	NA	NA	NA	NO	NA	NA	0	71	2016
180	8/15/2017	10:33:00 AM	72B	PIPO	22	ALIVE	6.8	6.5	1.6	2.6	3.9	NA	NA	NA	NA	NA	NA	NA	NA	0	72	2016
180	8/15/2017	10:41:00 AM	73B	PIPO	94	ALIVE	10.6	10.6	12.6	13.3	9.3	NA	NA	NA	NA	NA	NO	NA	NA	0	73	2016
180	8/15/2017	11:12:00 AM	74B	PIPO	60	ALIVE	10	10	8.4	9.6	9.4	NA	NA	NA	NA	NA	YES	NA	NA	0	74	2015
180	8/15/2017	10:52:00 AM	75B	PIPO	111	ALIVE	10.6	10.5	17.6	17.4	15.1	NA	NA	NA	NA	NA	YES	NA	NA	0	75	2016
180	8/15/2017	2:44:00 AM	77B	ABCO	59	ALIVE	9	9	0.2	4.9	6.1	NA	NA	NA	NA	NA	YES	NA	NA	0	77	2016
180	8/15/2017	2:41:00 AM	78B	ABCO	52	ALIVE	7.1	7.3	2.8	6.2	5.5	NA	NA	NA	NA	NA	YES	NA	NA	0	78	2016
180	8/15/2017	2:45:00 AM	79B	ABCO	47	ALIVE	6.5	6.4	3.6	8	4.4	NA	NA	NA	NA	NA	YES	NA	NA	0	79	2015
180	8/15/2017	2:34:00 AM	80B	ABCO	52	ALIVE	7.2	6.9	1.5	4.5	6.7	NA	NA	NA	NA	NA	NA	NA	NA	0	80	2015
180	8/21/2017	NA	85B	PIPO	37	ALIVE	5.6	5.3	1.9	2	4.2	NA	NA	NA	NA	NA	Y	NA	NA	0	85	2017
180	8/17/2017	NA	8B	PIPO	22	ALIVE	3.6	3.4	4.4	5.7	4.1	NA	NA	NA	NA	NA	YES	NA	NA	0	8	2016
180	8/21/2017	NA	91B	ABCO	12	ALIVE	2.3	2.3	2.1	2.7	2	NA	NA	NA	NA	NA	Y	NA	NA	0	91	2016
180	8/23/2017	NA	93B	ABCO	17	ALIVE	2.7	2.7	2	3.5	2.8	NA	NA	NA	NA	NA	yes	NA	NA	0	93	2017
180	8/16/2017	NA	96B	ABCO	18	ALIVE	3.9	3.8	2.8	3.4	4.3	NA	NA	NA	NA	NA	YES	some data in Diana Wahl notebook	NA	0	96	2016
180	8/23/2017	NA	97B	ABCO	26	ALIVE	5.6	5.7	3.3	2.7	4.2	NA	NA	NA	NA	NA	yes	NA	NA	0	97	2016
180	8/17/2017	NA	99B	PIPO	36	ALIVE	8.6	8.4	5.3	2.6	1.6	NA	NA	NA	NA	NA	YES	NA	NA	0	99	2015
180	8/17/2017	NA	9B	PIPO	68	ALIVE	11.2	11.8	6.3	6.3	9.8	NA	NA	NA	NA	NA	YES	NA	NA	0	9	2016
180	8/23/2017	10:35:00 AM	62	ABCO	99	DEAD	14.8	15.2	5.6	14.1	14.2	95	red	intact	intact	yes	yes	some beetle evidence	NA	1	62	2017
180	8/23/2017	NA	62B	ABCO	101	ALIVE	17.1	17.9	14.8	11.2	14.3	NA	NA	NA	NA	NA	yes	NA	NA	0	62	2017
180	8/15/2017	1:26:00 AM	42	PIPO	126	DEAD	16.8	17.2	16.7	17	4.7	20	grayish brown	intact	none	yes	YES	NA	NA	1	42	2015
180	8/23/2017	8:23:00 AM	56	ABCO	88	DEAD	13	14.3	13.4	11.6	9.4	90	red	intact	intact	no	yes	NA	NA	1	56	2016
180	8/23/2017	8:16:00 AM	57	PIPO	101	DEAD	24.1	22.6	15.8	15.3	14.3	20	tan	intact	missing	no	yes	NA	NA	1	57	2015
180	8/15/2017	10:45:00 AM	75	PIPO	125	DEAD	10.6	10.6	10.2	10.8	23	90	yellowish brown	intact	intact	N	YES	probably died after 2017 growt	NA	1	75	2016
180	8/22/2017	8:36:00 AM	131	ABCO	76	DEAD	13.5	13.7	5	13.6	11.5	90	red	intact	intact	yes	yes	NA	NA	1	131	2016
380	8/29/2017	NA	190B	PIPO	99	ALIVE	18.2	18.2	20.5	19.5	15.4	NA	NA	NA	NA	NA	NA	"dia measured with tape in the lab on 12/11/17, remeasuring with calipers would be good"	NA	0	190	2015
180	8/23/2017	8:23:00 AM	56B	ABCO	89	ALIVE	20.2	20.6	13.4	12.5	11.7	NA	NA	NA	NA	NA	no	NA	NA	0	56	2016
180	8/23/2017	NA	57B	PIPO	101	ALIVE	20.5	20.3	14.4	14.4	14.1	NA	NA	NA	NA	NA	yes	NA	NA	0	57	2015
180	8/15/2017	9:11:00 AM	66B	ABCO	82	ALIVE	15.3	14.9	4.5	6.2	8.5	NA	NA	NA	NA	NA	YES	NA	NA	0	66	2015
