COMP	DATE	TIME	SEEDLING	SPECIES	HEIGHT	DEAD_ALIVE	BAS_DIA_1_mm	BAS_DIA_2_mm	LAST_YR_GR_cm	MINUS_1_GR_cm	MINUS_2_GR_cm	PERC_NEEDLES	NEEDLE_COLOR	BARK	BUDS	Growing?	SUPPRESSED	NOTES	Cut_at_bottom	DEAD	PAIR	death_year
180	8/16/2017	2:26:00 PM	142	PIPO	64	DEAD	10.1	10.1	3.3	6.6	9.8	20	orangish to grayish brown	intact	intact	mid 2017 or 2016	YES	some data in Diana Wahl notebook	NA	1	142	2016
180	8/16/2017	3:49:00 PM	144	PIPO	43	DEAD	7.1	7.3	1.6	2.9	5.2	30	light brown	intact	intact	yes	YES	some data in Diana Wahl notebook	NA	1	144	2016
180	8/17/2017	8:24:00 AM	150	PIPO	67	DEAD	11.5	12	4.1	8.2	8.2	0	unk	cracking 15%	not intact	before 2017	YES	NA	NA	1	150	2015
180	8/17/2017	8:57:00 AM	151	PIPO	91	DEAD	12.2	11.8	3.3	5.4	11.6	95	reddish tan	intact	intact	No	YES	NA	NA	1	151	2016
180	8/17/2017	8:42:00 AM	152	PIPO	56	DEAD	8.9	9.5	2.8	3.8	5.1	85	reddish tan	intact	partial	GROWING	YES	NA	NA	1	152	2017
180	8/17/2017	8:55:00 AM	153	PIPO	52	DEAD	9.5	9	4.8	7.2	5.1	90	reddish tan	intact	"intact, bursting"	NOT GROWING	YES	NA	NA	1	153	2016
180	8/17/2017	9:33:00 AM	154	PIPO	47	DEAD	6.2	6	3.3	6.2	8.8	50	grayish tan	intact	not intact	NOT GROWING	YES	NA	NA	1	154	2015
180	8/17/2017	10:51:00 AM	157	PIPO	47	DEAD	8.5	8.2	6.6	7.3	8	95	orangish tan	intact	intact	NOT GROWING	YES	NA	NA	1	157	2016
180	8/17/2017	NA	158	PIPO	43	DEAD	8.2	8.5	3	3.3	5.5	95	gray tan	intact	intact	GROWING	YES	NA	NA	1	158	2016
180	8/17/2017	10:49:00 AM	159	PIPO	31	DEAD	5.7	5.7	1.3	2.7	4.3	50	light brown	intact	intact	GROWING	YES	NA	NA	1	159	2016
180	8/17/2017	4:00:00 PM	160	PIPO	71	DEAD	19.5	18.5	5.9	8.5	10.2	90	orangish tan	intact	intact	NO	YES	NA	NA	1	160	2016
180	8/21/2017	5:44:00 PM	161	ABCO	52	DEAD	9.1	9.2	3.3	0.4	5.4	90	red-tan	breaking bottom ten cm	partial	yes	Y	NA	NA	1	161	2017
180	8/21/2017	6:50:00 PM	163	PIPO	58	DEAD	8.7	8.5	9.5	9.4	10.7	95	red-tan	intact	intact	NO	Y	NA	NA	1	163	2016
180	8/22/2017	10:31:00 AM	164	PIPO	30	DEAD	3.8	4	1.3	5.2	2.3	40	grey	intact	partial	yes	yes	NA	NA	1	164	2015
180	8/22/2017	10:38:00 AM	165	PIPO	41	DEAD	8.1	8	2.2	3.5	6.1	99	tan	intact	intact	yes	yes	NA	NA	1	165	2016
180	8/22/2017	10:42:00 AM	166	PIPO	57	DEAD	7.8	7.5	2.8	5.7	9.7	90	tan	intact	intact	yes	yes	NA	NA	1	166	2016
380	8/25/2017	12:08:00 PM	167	PIPO	48	DEAD	9.6	9.6	8.5	8.4	6.5	99	reddish tan	peeling a little over 12 cm	intact	no	yes	NA	NA	1	167	2016
380	8/25/2017	12:15:00 PM	168	PIPO	13	DEAD	2.9	3	3	1.1	1.2	95	reddish tan	peeling off bottom 2 cm	intact	no	yes	NA	NA	1	168	2016
380	8/29/2017	9:36:00 AM	169	ABCO	21	DEAD	2.2	2.3	3.7	4.6	2.7	85	light green to red or tan	peeling over 1cm	intact	yes	yes	NA	NA	1	169	2017
380	8/25/2017	11:32:00 AM	172	PIPO	49	DEAD	12.6	11.1	2.1	7.2	5.9	95	reddish tan	intact	intact	yes	yes	NA	NA	1	172	2017
380	8/25/2017	11:43:00 AM	173	PIPO	41	DEAD	6	6.1	5.8	2.8	5.4	60	tan	intact	intact	no	yes	NA	NA	1	173	2016
380	8/25/2017	1:29:00 PM	177	PIPO	72	DEAD	7.6	7.8	8.6	11.3	7.5	20	tan	intact	missing	no	yes	"in plot. top bent+broken, may need to be thrown out"	NA	1	177	2015
380	8/25/2017	1:59:00 PM	181	PIPO	78	DEAD	11	10.5	7.8	13.5	7.5	95	light green to tan	intact	partial	no	yes	NA	NA	1	181	2017
380	8/25/2017	11:37:00 AM	182	PIPO	24	DEAD	5.1	5.1	4	2.1	4.6	30	grey	cracking in one spot	partial	no	yes	NA	NA	1	182	2015
380	8/25/2017	1:36:00 PM	186	PIPO	56	DEAD	7.9	8	1.5	1.3	6.9	20	grey	peeling over 3.6 cm	missing	yes	yes	NA	NA	1	186	2015
380	8/29/2017	1:40:00 PM	190	PIPO	97	DEAD	10	10	6.1	3.7	18.5	20	gray	loose bark over 2cm	no	unknown	yes	NA	NA	1	190	2015
380	8/29/2017	1:45:00 PM	191	PIPO	60	DEAD	5.9	6.9	5.4	5.4	8.1	50	gray	intact	partial	no	yes	NA	NA	1	191	2016
380	8/29/2017	12:41:00 PM	192	ABCO	56	DEAD	10.3	11.3	4.8	9.4	6.9	99	red	intact	intact	no	yes	NA	NA	1	192	2016
380	8/30/2017	8:55:00 AM	193	ABCO	19	DEAD	2.8	2.7	2.4	3	1.9	99	red	intact	intact	NO	yes	NA	NA	1	193	2016
380	8/30/2017	10:31:00 AM	196	PIPO	75	DEAD	10.6	10.2	5.1	8.9	5.6	0	n/a	flaked off over 1 cm	missing	unknown	yes	NA	NA	1	196	2015
380	8/30/2017	10:59:00 AM	197	ABCO	58	DEAD	9.3	10	3.9	6.9	24.7	1	grey	cracking at base and on some branches	partial	no	yes	NA	NA	1	197	2015
380	8/30/2017	11:09:00 AM	198	ABCO	35	DEAD	6.5	6.6	1.1	7.5	2.8	99	red	intact	not formed; new growth intact	yes	yes	NA	NA	1	198	2017
380	8/30/2017	11:47:00 AM	199	ABCO	45	DEAD	10.5	11.4	1.7	3.4	6.6	90	red	intact	not formed; new growth intact	yes	yes	vertical growth not started in mostrecent season	NA	1	199	2016
380	8/30/2017	12:17:00 PM	200	PIPO	19	DEAD	3.9	4	1.6	4.2	2.5	95	tan	intact	intact	no	yes	NA	NA	1	200	2016
380	8/30/2017	12:11:00 PM	201	ABCO	65	DEAD	12.2	12.2	0.5	1.2	8	99	light green to orange	intact	not formed; new growth intact	yes	yes	NA	NA	1	201	2017
380	8/30/2017	1:15:00 PM	202	PIPO	22	DEAD	3.5	3.6	5.6	6.5	4.5	85	grayish tan	intact	missing/not intact	no	yes	NA	NA	1	202	2016
380	8/30/2017	3:04:00 PM	203	ABCO	20	DEAD	2.8	3	4.2	2.3	0.9	95	red	intact	intact	no	yes	NA	NA	1	203	2016
380	8/30/2017	3:02:00 PM	204	PIPO	34	DEAD	5	4.5	1.5	1.2	4.4	5	gray	intact	intact	yes	yes	NA	NA	1	204	2015
380	8/30/2017	3:05:00 PM	205	PIPO	35	DEAD	3.5	3.7	3.6	4	3.7	95	orange	intact	intact	no	yes	NA	NA	1	205	2016
380	8/30/2017	3:42:00 PM	206	ABCO	100	DEAD	13.9	14.9	0.8	7.1	10.4	3	gray	cracked in 2 places	partial	unknown	yes	pitching and may not be viable sample; threw away backup in lab	NA	1	206	2015
380	8/31/2017	8:13:00 AM	207	ABCO	33	DEAD	6.9	7.1	6.7	3.8	1.3	95	red	intact	intact	no	yes	NA	NA	1	207	2016
380	8/31/2017	8:54:00 AM	208	ABCO	19	DEAD	3.9	3.9	0.3	1.9	1.2	99	light green to red	intact	not formed; new growth intact	yes	yes	NA	NA	1	208	2017
380	8/31/2017	8:49:00 AM	209	PIPO	85	DEAD	11.5	11.9	4.1	8	1.8	95	tan	intact	not formed; new growth intact	yes	yes	NA	NA	1	209	2017
380	8/31/2017	1:35:00 PM	210	ABCO	39	DEAD	5.3	5.3	3.1	2.7	5.5	99	orange to tan	intact	intact	no	yes	NA	NA	1	210	2016
380	8/31/2017	1:55:00 PM	211	ABCO	16	DEAD	2.4	2.3	0.7	1.9	2.5	99	light green	intact	not formed; new growth intact	yes	yes	NA	NA	1	211	2017
380	8/31/2017	2:49:00 PM	212	ABCO	36	DEAD	6.1	5.7	0.6	6.8	6.1	99	red to tan	intact	not formed; new growth intact	yes	yes	NA	NA	1	212	2017
380	8/31/2017	3:08:00 PM	213	PIPO	32	DEAD	4.8	4.7	1.9	4.5	3.2	0	n/a	intact	not intact	unknown	yes	NA	NA	1	213	2015
180	9/7/2017	2:01:00 PM	215	ABCO	21	DEAD	4.1	3.8	1.7	1.8	2.4	50	red	cracking in one spot near base	intact	no	yes	NA	NA	1	215	2017
180	9/7/2017	2:08:00 PM	216	ABCO	63	DEAD	10	10	7.2	12.3	7.5	95	red	intact	intact	no	yes	NA	NA	1	216	2016
180	9/7/2017	2:18:00 PM	217	ABCO	51	DEAD	11.3	11.2	4.7	11.3	8.9	10	gray/red	intact	inact	no	yes	NA	NA	1	217	2015
180	9/7/2017	2:17:00 PM	218	ABCO	31	DEAD	5.4	5.4	2.3	4.1	4.3	95	red	intact	partial	no	yes	NA	NA	1	218	2016
180	9/7/2017	2:47:00 PM	219	ABCO	48	DEAD	7.7	7.2	6.7	5.8	4.5	95	red	intact	intact	no	yes	NA	NA	1	219	2016
180	9/7/2017	3:01:00 PM	220	ABCO	35	DEAD	6.1	6.3	4.7	7.1	7.9	95	red	intact	intact	no	yes	NA	NA	1	220	2016
180	9/7/2017	3:08:00 PM	221	ABCO	18	DEAD	2.8	2.8	0.4	1.3	3.6	95	red	intact	intact	unknown	yes	NA	NA	1	221	2016
180	9/7/2017	3:15:00 PM	222	ABCO	19	DEAD	3.8	3.8	0.3	4.2	3.9	99	red	intact	intact	yes	yes	NA	NA	1	222	2017
180	9/7/2017	3:44:00 PM	223	ABCO	55	DEAD	8.5	8.9	1.7	8.6	9.8	99	red	intact	intact	yes	yes	some pitch on bole	NA	1	223	2017
180	9/7/2017	3:52:00 PM	224	ABCO	22	DEAD	7.7	7.9	0.2	1.5	1.4	99	red	intact	intact	yes	yes	NA	NA	1	224	2016
180	9/7/2017	4:00:00 PM	225	ABCO	31	DEAD	8.5	8.4	0.2	0.8	3.5	70	red	intact	intact	yes	yes	NA	NA	1	225	2016
180	9/7/2017	4:15:00 PM	226	ABCO	20	DEAD	4.2	4.5	1.6	1.4	9.7	90	red	intact	intact	no	yes	NA	NA	1	226	2016
180	9/7/2017	4:41:00 PM	227	ABCO	35	DEAD	3.8	3.8	1.6	1.6	4.3	95	red	intact	not intact	no	yes	NA	NA	1	227	2016
180	9/7/2017	4:42:00 PM	228	ABCO	47	DEAD	9.9	10.2	5.6	7.5	8.3	2	gray	cracking	partial	no	yes	NA	NA	1	228	2015
180	9/7/2017	4:43:00 PM	229	ABCO	65	DEAD	13.7	13.5	5.9	8.2	8	5	gray	cracking	intact	no	yes	NA	NA	1	229	2015
180	9/7/2017	4:43:00 PM	230	ABCO	56	DEAD	9.7	9.5	7.8	8.5	7.7	90	red	intact	intact	no	yes	NA	NA	1	230	2016
180	9/7/2017	5:05:00 PM	231	ABCO	38	DEAD	9.3	9.9	2.9	3.5	5.4	40	red/gray	lightly cracking over 14 cm	intact	no	yes	NA	NA	1	231	2015
