Seq	Series	Interval	Years	Segmt	Flags	Master	msmt	msmt	dev	corr	sens	value	dev	corr
32B	2007	2016	10	1	0	0.37	0.37	0.55	0.14	0.532	0.347	2.4	0.73	-0.038
33B	2014	2016	3	1	0	0.932	0.3	0.35	0.05	-1	0.244	2.11	0.177	-1
36B	2012	2016	5	1	1	0.227	0.17	0.28	0.074	0.182	0.515	2.27	0.439	-0.009
37B	2012	2016	5	1	1	0.49	0.34	0.4	0.059	-0.695	0.272	2.1	0.143	-0.862
41B	2007	2016	10	1	0	0.735	0.26	0.37	0.077	0.285	0.34	2.67	0.865	-0.137
47B	2011	2016	6	1	1	0.101	0.09	0.16	0.038	-0.321	0.476	2.35	0.391	-0.272
4B	2011	2016	6	1	1	-0.81	0.2	0.23	0.033	0.257	0.197	2.09	0.154	-0.185
51B	2006	2016	11	1	1	-0.016	0.12	0.19	0.035	-0.322	0.366	2.66	0.799	-0.13
52B	2008	2016	9	1	1	-0.145	0.09	0.15	0.027	0.364	0.254	2.78	0.812	-0.006
55B	2010	2016	7	1	1	-0.159	0.29	0.62	0.186	0.823	0.407	2.7	0.67	0.336
56B	2009	2016	8	1	1	0.096	0.75	0.91	0.147	0.553	0.16	2.48	0.985	-0.065
62B	2011	2016	6	1	1	0.39	0.82	1.11	0.145	0.502	0.096	2.07	0.1	0.243
66B	2009	2016	8	1	1	-0.075	0.62	0.78	0.141	0.762	0.145	2.56	0.858	-0.344
68B	2008	2016	9	1	0	0.5	0.71	1.17	0.3	0.752	0.239	2.49	0.789	-0.117
77B	2008	2016	9	1	0	0.416	0.3	0.52	0.128	0.518	0.305	2.87	1.047	0.371
78B	2007	2016	10	1	0	0.648	0.25	0.35	0.066	0.456	0.211	2.65	0.854	-0.059
79B	2011	2016	6	1	0	0.436	0.28	0.35	0.042	-0.52	0.22	2.12	0.135	-0.522
80B	2009	2016	8	1	1	0.269	0.28	0.45	0.107	0.09	0.407	2.82	0.964	-0.061
84B	2011	2016	6	1	1	-0.346	0.22	0.25	0.02	-0.118	0.089	2.04	0.091	0.097
93B	2011	2016	6	1	1	0.496	0.11	0.19	0.048	0.349	0.448	2.4	0.419	0.041
96B	2012	2016	5	1	1	0.428	0.19	0.32	0.099	-0.908	0.832	2.36	0.436	-0.989
97B	2012	2016	5	1	1	-0.111	0.25	0.36	0.066	-0.497	0.288	2.36	0.965	-0.065
98B	2012	2016	5	1	1	0.431	0.55	0.61	0.056	-0.024	0.136	2.02	0.085	-0.459
