"","shrubs","Species","Growth","Perc_mort"
"1","min","PIPO",0.273190915753272,0.0780746449949146
"2","min","ABCO",0.109503169422756,1.07216968282792
"3","max","PIPO",0.0988849301924989,1.06690183429372
"4","max","ABCO",0.159136485769359,0.722612077912901
