Sdlg	Species	Fire	FirePatch	Ht2017.cm.fall	Elevation	Nearby_Easting	Nearby_Northing	Slope.Deg	Aspect.deg	BasDia2016.cm	Datasheet1_2016	Date1_2016	Date2_2016	personel2	personel1	ShrubSpp03	Cov1.3	Ht1.3	Years	DataSheet2017	BasDia2017.mm.1	BasDia2017.mm.2	siteclass	Y	X	incidrad	heatload	Year	VertGrowth_cm	Ht_cm1	FireYear	Ht_cm2
288	PIPO	FRDS	FRDS-mid	216	1638	0	0	5	166	5.85	Data_Sheet_FRDS_MID_JUL_27_2016	7/27/2016	9/9/9999	0	VF HH	CEIN	520	156.3461538	13	Shrubs_Summer17_Freds_KindleFire_Sep5_done	67.5	66.2	4	38.78755404	-120.2998363	0.996478539	0.97735359	2017	15.3	200.7	2004	216
289	PIPO	FRDS	FRDS-mid	222	1638	0	0	5	166	5.61	Data_Sheet_FRDS_MID_JUL_27_2016	7/27/2016	9/9/9999	0	VF HH	CEIN	310	156.1290323	13	Shrubs_Summer17_Freds_KindleFire_Sep5_done	73.3	74.5	4	38.78755404	-120.2998363	0.996478539	0.97735359	2017	19.1	202.9	2004	222
290	PIPO	FRDS	FRDS-mid	276	1638	0	0	2	191	7	Data_Sheet_FRDS_MID_JUL_28_2016(1)	7/28/2016	9/9/9999	0	VF HH	CEIN	380	165.5263158	13	Shrubs_Summer17_Freds_KindleFire_Sep5_done	8.7	8.7	4	38.78730874	-120.3002361	0.980661059	0.978094264	2017	50.5	225.5	2004	276
291	PIPO	FRDS	FRDS-mid	165	1638	0	0	7	208	3.15	Data_Sheet_FRDS_MID_JUL_28_2016(1)	7/28/2016	9/9/9999	0	VF HH	CEIN	1060	204.9056604	13	paper in maroon binder	30.9	30	4	38.787214	-120.3002301	1.001025572	1.005334647	2017	15	150	2004	165
292	PIPO	FRDS	FRDS-mid	238	1638	0	0	13	206	6.86	Data_Sheet_FRDS_MID_JUL_28_2016(1)	7/28/2016	9/9/9999	0	VF HH	CEIN	500	147.6	13	paper in maroon binder	90	80	4	38.787214	-120.3002301	1.02250931	1.027575483	2017	26	212	2004	238
293	PIPO	FRDS	FRDS-mid	162	1638	0	0	5	224	3.2	Data_Sheet_FRDS_MID_JUL_28_2016(1)	7/28/2016	9/9/9999	0	VF HH	CEIN	640	190	13	paper in maroon binder	35.1	37.1	4	38.78730577	-120.3003487	0.985938357	0.997722232	2017	22	140	2004	162
294	PIPO	FRDS	FRDS-mid	54	1638	0	0	12	243	1.2	Data_Sheet_FRDS_MID_JUL_28_2016(1)	7/28/2016	9/9/9999	0	VF HH	CECO	40	90	13	paper in maroon binder	14.6	15.2	4	38.78741235	-120.3004554	0.975021681	1.024834374	2017	14	40	2004	54
129	ABCO	FRDS	FRDS-N	31	1805	738851	4298772	21	310	0.53	Data_Sheet_FRDS_JUN_28_2	6/28/2016	9/9/9999	0	CT vf 	CHSE	890	121.5730337	13	Shrubs_Summer17_Aug31_1426_done	5.4	5.9	4	38.79491286	-120.3378043	0.771883574	0.897969136	2017	4.5	26.5	2004	31
133	PIPO	FRDS	FRDS-N	101	1805	0	0	21	130	2.79	Data_Sheet_FRDS_N_JUN29	6/29/2016	9/9/9999	0	CT vf	CECO	830	65.30120482	13	Shrubs_Summer17_Aug31_1426_done	32.8	33	4	38.79535316	-120.3365669	0.993941238	0.867855676	2017	11.5	89.5	2004	101
140	PIPO	FRDS	FRDS-SE	70	1316	738851	4298772	8	270	1.25	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	1090	51.28440367	13	Shrubs_Summer17_Sep1_done_Fire	13.6	13.7	2	38.7766609	-120.2901466	0.945697214	0.993130952	2017	8.3	61.7	2004	70
141	PIPO	FRDS	FRDS-SE	125	1316	738851	4298772	8	270	3.82	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	690	49.56521739	13	Shrubs_Summer17_Sep1_done_Fire	44.2	41.2	2	38.7766609	-120.2901466	0.945697214	0.993130952	2017	21	104	2004	125
142	PIPO	FRDS	FRDS-SE	156	1316	738851	4298772	8	270	4.05	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	980	91.73469388	13	Shrubs_Summer17_Sep1_done_Fire	46.4	46.9	2	38.7766609	-120.2901466	0.945697214	0.993130952	2017	21	135	2004	156
143	PIPO	FRDS	FRDS-SE	39	1316	738851	4298772	15	210	0.77	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	1220	94.75409836	13	Shrubs_Summer17_Sep1_done_Fire	7.5	7.7	2	38.77668184	-120.2900329	1.02371412	1.036176776	2017	4.3	34.7	2004	39
159	PIPO	STAR	STAR-NW	124	1643	0	0	19	112	2.45	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CECO	1070	96.91588785	16	Shrubs_Summer17_Star_KindleFire_Sep6	22	21.4	6	39.13534746	-120.4836887	0.950095687	0.829995945	2017	5.8	118.2	2001	124
162	ABCO	STAR	STAR-NW	49	1679	0	0	12	132	1.6	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CECO	740	83.24324324	16	Shrubs_Summer17_Star_KindleFire_Sep6	16.4	16.2	6	39.13558729	-120.4850967	0.993369099	0.921068456	2017	4.5	44.5	2001	49
163	ABCO	STAR	STAR-NW	59	1679	0	0	12	132	2.32	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CECO	1110	78.01801802	16	Shrubs_Summer17_Star_KindleFire_Sep6	25.4	25.2	6	39.13558729	-120.4850967	0.993369099	0.921068456	2017	5.1	53.9	2001	59
164	ABCO	STAR	STAR-NW	68	1679	0	0	12	132	2.4	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CECO	1110	78.01801802	16	Shrubs_Summer17_Star_KindleFire_Sep6	23.7	24.6	6	39.13558729	-120.4850967	0.993369099	0.921068456	2017	20.5	47.5	2001	68
166	ABCO	STAR	STAR-NW	48	1703	0	0	19	130	0.75	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	PREM	1410	124.893617	16	Shrubs_Summer17_Star_KindleFire_Sep6	9.5	8.6	6	39.13606184	-120.4858415	0.992173056	0.877627534	2017	5.1	42.9	2001	48
167	PIPO	STAR	STAR-NW	235	1703	0	0	19	130	6.4	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	Other	1070	130.4672897	16	Shrubs_Summer17_Star_KindleFire_Sep6	72.6	66.5	6	39.13606184	-120.4858415	0.992173056	0.877627534	2017	31	204	2001	235
168	PIPO	STAR	STAR-NW	200	1701	0	0	11	111	3.3	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CECO	1200	140	16	Shrubs_Summer17_Star_2	43.1	40	6	39.13564342	-120.4860966	0.963568257	0.893201637	2017	15	185	2001	200
169	PIPO	STAR	STAR-NW	190	1706	0	0	14	120	2.46	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CECO	1190	122.8571429	16	Shrubs_Summer17_Star_2	46.9	46	6	39.1354189	-120.4862701	0.975489668	0.887006546	2017	16	174	2001	190
170	ABCO	STAR	STAR-NW	48	1644	0	0	17	182	1.46	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CEIN	1090	160.9174312	16	Shrubs_Summer17_Star_2	7.9	8.5	4	39.13317879	-120.490142	1.043035077	1.005262438	2017	2.2	45.8	2001	48
171	PIPO	STAR	STAR-NW	205	1644	0	0	17	182	6.75	Data_Sheet_STAR_JUL_5_2016	7/5/2016	9/9/9999	0	vf hh	CEIN	900	147.7777778	16	Shrubs_Summer17_Star_2	85	85	4	39.13317879	-120.490142	1.043035077	1.005262438	2017	12.5	192.5	2001	205
179	ABCO	STAR	STAR-S	54	1646	0	0	7	31	0.85	Data_Sheet_STAR_S_JUL_6_2016(1)	7/6/2016	9/9/9999	0	vf hh	CECO	1350	137.4814815	16	Shrubs_Summer17_Star_KindleFire_Sep7	8.3	8.3	4	39.1063607	-120.4685535	0.895897929	0.88925265	2017	3.6	50.4	2001	54
180	PIPO	STAR	STAR-S	199	1646	0	0	7	31	4.9	Data_Sheet_STAR_S_JUL_6_2016(1)	7/6/2016	9/9/9999	0	vf hh	CECO	1320	139.5454545	16	Shrubs_Summer17_Star_KindleFire_Sep7	52.6	50.2	4	39.1063607	-120.4685535	0.895897929	0.88925265	2017	13.5	185.5	2001	199
182	ABCO	STAR	STAR-S	78	1634	0	0	11	56	1.47	Data_Sheet_STAR_S_JUL_7_2016	7/7/2016	9/9/9999	0	vf hh	CECO	1610	124.6583851	16	Shrubs_Summer17_Star_KindleFire_Sep7	11.1	11.2	4	39.10655644	-120.4686514	0.879449034	0.840597781	2017	11.3	66.7	2001	78
186	ABCO	STAR	STAR-S	156	1634	0	0	9	27	2.65	Data_Sheet_STAR_S_JUL_7_2016	7/7/2016	9/9/9999	0	vf hh	Other	820	160.4878049	16	Shrubs_Summer17_Star_KindleFire_Sep7	30.9	30.6	4	39.10656447	-120.4685161	0.871744732	0.867216878	2017	12.5	143.5	2001	156
189	ABCO	STAR	STAR-S	74	1634	0	0	11	56	1.54	Data_Sheet_STAR_S_JUL_7_2016	7/7/2016	9/9/9999	0	vf hh	CECO	1610	124.6583851	16	Shrubs_Summer17_Star_KindleFire_Sep7	12.7	12.5	4	39.10655644	-120.4686514	0.879449034	0.840597781	2017	8.5	65.5	2001	74
144	PIPO	FRDS	FRDS-SE	42	1316	738851	4298772	13	224	0.85	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	930	73.65591398	13	Shrubs_Summer17_Sep1_done_Fire	7.8	8.2	2	38.77668497	-120.2902255	1.003148667	1.03356313	2017	2.7	39.3	2004	42
149	PIPO	FRDS	FRDS-SE	50	1316	738851	4298772	20	170	0.9	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	890	30	13	Shrubs_Summer17_Sep1_iPad	11.8	11.8	2	38.77662483	-120.290709	1.05128881	0.983495802	2017	9.2	40.8	2004	50
150	PIPO	FRDS	FRDS-SE	42	1316	738851	4298772	20	170	0.65	Data_Sheet_FRDS_SE_JUL_1	7/1/2016	9/9/9999	0	CT vf	CHFO	940	39.36170213	13	Shrubs_Summer17_Sep1_iPad	6.8	7.2	2	38.77662483	-120.290709	1.05128881	0.983495802	2017	5.6	36.4	2004	42
202	ABCO	AMRC	AMRC-2	60	1672	0	0	19	265	1.38	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1150	86.95652174	9	Shrubs_Summer17_AMRC_2_Sep12	11.5	11.4	4	39.22077819	-120.6207516	0.904194413	1.010728242	2017	1.7	58.3	2008	60
203	ABCO	AMRC	AMRC-2	41	1672	0	0	19	265	1.29	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1150	86.95652174	9	Shrubs_Summer17_AMRC_2_Sep12	17.5	17.5	4	39.22077819	-120.6207516	0.904194413	1.010728242	2017	3.9	37.1	2008	41
204	ABCO	AMRC	AMRC-2	42	1672	0	0	24	257	1.1	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1180	102.2033898	9	Shrubs_Summer17_AMRC_2_Sep12	8.5	8.6	4	39.22077819	-120.6208135	0.904544942	1.026701286	2017	3.5	38.5	2008	42
205	PIPO	AMRC	AMRC-2	67	1672	0	0	16	273	1.58	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1120	78.48214286	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	10.8	11.7	4	39.22072909	-120.6207553	0.89960763	0.995459661	2017	8.6	58.4	2008	67
206	ABCO	AMRC	AMRC-2	34	1672	0	0	16	273	0.74	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1120	78.48214286	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	6.1	6.5	4	39.22072909	-120.6207553	0.89960763	0.995459661	2017	3.7	30.3	2008	34
207	PIPO	AMRC	AMRC-2	83	1672	0	0	17	268	2.28	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1070	74.01869159	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	25.1	25.2	4	39.22062675	-120.6208029	0.906303108	1.004449637	2017	10	73	2008	83
209	PIPO	AMRC	AMRC-2	113	1672	0	0	17	268	2.98	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	840	68.57142857	9	Shrubs_Summer17_AMRC_2_Sep12	33.2	33.6	4	39.22056393	-120.620823	0.906303692	1.004450221	2017	9.8	103.2	2008	113
210	ABCO	AMRC	AMRC-2	32	1672	0	0	17	268	1.02	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	850	50.35294118	9	Shrubs_Summer17_AMRC_2_Sep12	8.2	7.8	4	39.22052584	-120.6208611	0.906304047	1.004450575	2017	3	29	2008	32
211	PIPO	AMRC	AMRC-2	84	1672	0	0	18	257	2	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1150	69.30434783	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	17.9	17	4	39.22047514	-120.6209177	0.929543835	1.022351766	2017	7.5	76.5	2008	84
212	ABCO	AMRC	AMRC-2	41	1672	0	0	15	278	1.39	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1030	81.74757282	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	14	13.7	4	39.22042444	-120.6209742	0.894205665	0.986644511	2017	5.7	35.3	2008	41
213	ABCO	AMRC	AMRC-2	41	1672	0	0	15	278	1.37	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1030	81.74757282	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	13.1	12	4	39.22042444	-120.6209742	0.894205665	0.986644511	2017	6.6	34.4	2008	41
214	PIPO	AMRC	AMRC-2	78	1672	0	0	16	284	1.59	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1140	75	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	15.6	14.7	4	39.22037328	-120.6210434	0.874423082	0.974990668	2017	10	68	2008	78
215	PIPO	AMRC	AMRC-2	90	1672	0	0	15	272	2.64	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1130	89.46902655	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	24.5	25.6	4	39.22039042	-120.6209749	0.907214194	0.996647761	2017	11.7	78.3	2008	90
216	ABCO	AMRC	AMRC-2	64	1672	0	0	19	287	1.46	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1000	67.3	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	12.9	13.5	4	39.22028129	-120.6210769	0.844642122	0.964193501	2017	6.6	57.4	2008	64
217	ABCO	AMRC	AMRC-2	82	1672	0	0	19	287	1.5	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	1000	67.3	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	15.1	16.8	4	39.22028129	-120.6210769	0.844642122	0.964193501	2017	10.2	71.8	2008	82
218	ABCO	AMRC	AMRC-2	72	1672	0	0	22	277	1.99	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	930	89.35483871	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	16.2	16.4	4	39.22028129	-120.6210769	0.850962969	0.984131813	2017	8.6	63.4	2008	72
219	PIPO	AMRC	AMRC-2	21	1672	0	0	22	277	0.75	Data_Sheet_AMRC_2_JUL_18_2016(4)	7/18/2016	9/9/9999	0	VF HH	CECO	940	80.31914894	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	4.9	4.6	4	39.22028129	-120.6210769	0.850962969	0.984131813	2017	5.8	15.2	2008	21
220	PIPO	AMRC	AMRC-2	122	1652	0	0	24	262	3.04	Data_Sheet_AMRC__2_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	1270	91.41732283	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	30.1	27.7	4	39.22017215	-120.6211788	0.887734016	1.017019684	2017	5.5	116.5	2008	122
221	ABCO	AMRC	AMRC-2	90	1651	0	0	22	257	1.8	Data_Sheet_AMRC__2_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	1000	81.4	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	20.6	18.1	4	39.22027688	-120.6211408	0.913585032	1.02609167	2017	9	81	2008	90
222	PIPO	AMRC	AMRC-2	106	1658.5	0	0	20	282	2.71	Data_Sheet_AMRC__2_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	990	70.90909091	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	27.9	31	4	39.22012997	-120.6209867	0.85056279	0.974623568	2017	11	95	2008	106
223	ABCO	AMRC	AMRC-2	39	1663	0	0	21	275	1.44	Data_Sheet_AMRC__2_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	1060	68.20754717	9	Shrubs_Summer17_AMRC_2_Sep12	11.2	12.3	4	39.2200878	-120.6207945	0.863931404	0.990016966	2017	2.3	36.7	2008	39
224	ABCO	AMRC	AMRC-2	32	1663	0	0	21	275	1.18	Data_Sheet_AMRC__2_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	1060	68.20754717	9	Shrubs_Summer17_AMRC_2_Sep12	10.1	10.5	4	39.2200878	-120.6207945	0.863931404	0.990016966	2017	2.2	29.8	2008	32
225	ABCO	AMRC	AMRC-2	79	1658.5	0	0	17	280	1.84	Data_Sheet_AMRC__2_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	1050	67.42857143	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	17.5	17.7	4	39.22006637	-120.6207255	0.876919123	0.982220378	2017	12.9	66.1	2008	79
227	ABCO	AMRC	AMRC-NE	62	1951	0	0	16	166	1.49	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	950	60.63157895	9	Shrubs_Summer17_AMRC_2_Sep11	18	16.8	4	39.23838379	-120.5940282	1.035307366	0.974823106	2017	6.3	55.7	2008	62
228	ABCO	AMRC	AMRC-NE	86	1951	0	0	16	166	1.99	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	CECO	950	60.63157895	9	Shrubs_Summer17_AMRC_2_Sep11	20.6	20.9	4	39.23838379	-120.5940282	1.035307366	0.974823106	2017	6.7	79.3	2008	86
230	ABCO	AMRC	AMRC-NE	64	1951	0	0	17	197	1.98	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	ARPA	750	69.86666667	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	20.8	20.9	4	39.23872851	-120.5942614	1.035982036	1.025644313	2017	16.2	47.8	2008	64
231	ABCO	AMRC	AMRC-NE	64	1951	0	0	17	197	1.31	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	ARPA	750	69.86666667	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	14.9	14	4	39.23872851	-120.5942614	1.035982036	1.025644313	2017	9.4	54.6	2008	64
232	ABCO	AMRC	AMRC-NE	65	1951	0	0	17	197	0.89	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	ARPA	860	75.81395349	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	9.6	9.2	4	39.23872851	-120.5942614	1.035982036	1.025644313	2017	3.7	61.3	2008	65
233	ABCO	AMRC	AMRC-NE	41	1951	0	0	16	190	0.89	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	Other	940	53.72340426	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	6.5	6.9	4	39.23872851	-120.5942614	1.037232185	1.015223631	2017	1.5	39.5	2008	41
234	PIPO	AMRC	AMRC-NE	40	1951	0	0	20	197	1.51	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	Other	610	36.2295082	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	15.5	14	4	39.23872851	-120.5942614	1.042315463	1.030222262	2017	7	33	2008	40
235	ABCO	AMRC	AMRC-NE	30	1951	0	0	20	197	1.55	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	ARPA	830	49.15662651	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	13.5	13.3	4	39.23872851	-120.5942614	1.042315463	1.030222262	2017	2	28	2008	30
236	ABCO	AMRC	AMRC-NE	35	1951	0	0	20	197	1.11	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	ARPA	830	49.15662651	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	9	9	4	39.23872851	-120.5942614	1.042315463	1.030222262	2017	1.8	33.2	2008	35
239	PIPO	AMRC	AMRC-NE	49	1951	0	0	17	187	1.62	Data_Sheet_AMRC_NE_JUL_19_2016(1).xlsx	7/19/2016	9/9/9999	0	VF HH	ARPA	940	77.12765957	9	Shrubs_Summer17_AMRC_2_Sep11	15.9	15.5	4	39.23891596	-120.5947841	1.041087544	1.012263769	2017	6.2	42.8	2008	49
242	ABCO	AMRC	AMRC-NE	29	1940	0	0	20	196	0.93	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	ARPA	900	59.33333333	9	Shrubs_Summer17_AMRC_2_Sep11	6.2	6.4	4	39.23866933	-120.5949522	1.043133183	1.028849929	2017	0.9	28.1	2008	29
243	ABCO	AMRC	AMRC-NE	26	1940	0	0	20	196	1.13	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	ARPA	900	59.33333333	9	Shrubs_Summer17_AMRC_2_Sep11	7.2	8.6	4	39.23866933	-120.5949522	1.043133183	1.028849929	2017	1.8	24.2	2008	26
244	PIPO	AMRC	AMRC-NE	20	1940	0	0	20	196	0.89	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	ARPA	720	69.30555556	9	Shrubs_Summer17_AMRC_2_Sep11	7.2	6.5	4	39.23866933	-120.5949522	1.043133183	1.028849929	2017	4	16	2008	20
245	ABCO	AMRC	AMRC-NE	45	1940	0	0	16	202	0.7	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	CECO	1020	54.01960784	9	Shrubs_Summer17_AMRC_2_Sep11	6.6	6.7	4	39.23865365	-120.5950743	1.029577132	1.028689778	2017	3.1	41.9	2008	45
246	ABCO	AMRC	AMRC-NE	65	1940	0	0	18	192	1.51	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	CECO	1190	45.04201681	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	14.1	15.1	4	39.23866149	-120.5950132	1.04156044	1.020785868	2017	5	60	2008	65
247	ABCO	AMRC	AMRC-NE	35.8	1940	0	0	18	192	0.94	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	CECO	1190	45.04201681	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	7.4	6.8	4	39.23866149	-120.5950132	1.04156044	1.020785868	2017	0.4	35.4	2008	35.8
248	ABCO	AMRC	AMRC-NE	36	1940	0	0	18	202	0.68	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	CECO	1080	48.24074074	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	5.2	4.4	4	39.23866149	-120.5950132	1.033969584	1.032974773	2017	3.4	32.6	2008	36
249	ABCO	AMRC	AMRC-NE	43	1940	0	0	18	202	0.94	Data_Sheet_AMRC_NE_JUL_20_16	7/20/2016	9/9/9999	0	VF HH	CECO	1080	48.24074074	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	5.8	6.5	4	39.23866149	-120.5950132	1.033969584	1.032974773	2017	5.1	37.9	2008	43
250	ABCO	AMRC	AMRC-3	41	1685	0	0	4	14	1.2	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	ARPA	740	73.64864865	9	Shrubs_Summer17_AMRC_2_Sep12	12.5	12	3	39.219178	-120.635357	0.922190606	0.92599428	2017	10.2	30.8	2008	41
251	PIPO	AMRC	AMRC-3	25	1684	0	0	2	14	0.63	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	CECO	600	56.83333333	9	Shrubs_Summer17_AMRC_2_Sep12	5	5	3	39.21927981	-120.6354794	0.943954998	0.945857994	2017	7.3	17.7	2008	25
252	ABCO	AMRC	AMRC-3	35	1684	0	0	2	14	1.17	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	ARPA	640	58.4375	9	Shrubs_Summer17_AMRC_2_Sep12	9.9	9.7	3	39.21927981	-120.6354794	0.943954998	0.945857994	2017	4.9	30.1	2008	35
253	ABCO	AMRC	AMRC-3	62	1681	0	0	6	324	1.25	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	CECO	790	68.73417722	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	12.6	15.7	3	39.219158	-120.636404	0.907840614	0.940719496	2017	4.5	57.5	2008	62
254	ABCO	AMRC	AMRC-3	72	1681	0	0	6	324	1.7	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	CECO	790	68.73417722	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	20.5	22.2	3	39.219158	-120.636404	0.907840614	0.940719496	2017	10.2	61.8	2008	72
255	ABCO	AMRC	AMRC-3	40	1680.5	0	0	7	336	1.24	Data_Sheet_AMRC_3_JUL_21_2016.xlsx	7/21/2016	9/9/9999	0	VF HH	CECO	890	84.49438202	9	Shrubs_Summer17_AMRC_KindleFire_Sep12_1234	11.9	11.7	3	39.21920238	-120.6364516	0.891552273	0.924163968	2017	5.2	34.8	2008	40
256	ABCO	AMRC	AMRC-3	55	1680	0	0	5	342	1.32	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	CECO	710	77.04225352	9	Shrubs_Summer17_AMRC_2_Sep12	13.6	14	3	39.21924676	-120.6364993	0.911847407	0.932728687	2017	7	48	2008	55
257	ABCO	AMRC	AMRC-3	39	1680	0	0	5	342	1.21	Data_Sheet_AMRC_3_JUL_20_2016(1).xlsx	7/20/2016	9/9/9999	0	VF HH	CECO	780	73.20512821	9	Shrubs_Summer17_AMRC_2_Sep12	11.7	11.6	3	39.21924676	-120.6364993	0.911847407	0.932728687	2017	6.2	32.8	2008	39
