Sdlg	Species	Fire	FirePatch	Ht2017.cm.fall	Elevation	Nearby_Easting	Nearby_Northing	Slope.Deg	Aspect.deg	BasDia2016.cm	Datasheet1_2016	Date1_2016	Date2_2016	personel2	personel1	ShrubSpp03	Cov1.3	Ht1.3	Years	DataSheet2017	BasDia2017.mm.1	BasDia2017.mm.2	siteclass	Y	X	incidrad	heatload	Year	VertGrowth_cm	Ht_cm1	FireYear	Ht_cm2
282	ABCO	CLVD	CLVD-N	52	1621	0	0	22	67	1.09	Data_Sheet_CLVD_N_JUL_26_2016(1)	7/26/2016	9/9/9999	0	VF HH	ARPA	1110	108.018018	25	Shrubs_Summer17_Aug30_1231_done	11.5	12	3	38.85454104	-120.4147644	0.805793182	0.708931075	2017	1.7	50.3	1992	52
283	ABCO	CLVD	CLVD-N	37	1621	0	0	15	39	0.56	Data_Sheet_CLVD_N_JUL_26_2016(1)	7/26/2016	9/9/9999	0	VF HH	CECO	1060	89.1509434	25	Shrubs_Summer17_Aug30_1231_done	4.1	4.5	3	38.85465594	-120.4146347	0.818007651	0.790889834	2017	4.6	32.4	1992	37
284	ABCO	CLVD	CLVD-N	50	1621	0	0	13	37	0.95	Data_Sheet_CLVD_N_JUL_26_2016(1)	7/26/2016	9/9/9999	0	VF HH	ARPA	1120	120.7142857	25	Shrubs_Summer17_Aug30_1231_done	10.3	9.1	3	38.8553308	-120.4143378	0.837835522	0.817057492	2017	1.5	48.5	1992	50
285	PIPO	CLVD	CLVD-N	167	1621	0	0	20	33	5.47	Data_Sheet_CLVD_N_JUL_26_2016(1)	7/26/2016	9/9/9999	0	VF HH	ARPA	970	98.91752577	25	Shrubs_Summer17_Aug30_1231_done	61.2	61.6	3	38.85537405	-120.4140915	0.749955725	0.726962419	2017	13	154	1992	167
36	PIPO	AMRC	AMRC-NW	45	1598	739022	4298073	28	250	1.35	Data_Sheet_AMRC_NW_JUN_21_4	6/21/2016	9/9/9999	0	CT vf	LIDE	140	23.57142857	9	Shrubs_Summer17_AMRC_KindleFire_Sep11	16.4	17.4	4	39.23366473	-120.6489264	0.910792314	1.038482309	2017	9.8	35.2	2008	45
38	PIPO	AMRC	AMRC-NW	21	1598	739022	4298073	28	250	1.21	Data_Sheet_AMRC_NW_JUN_21_4	6/21/2016	9/9/9999	0	CT vf	LIDE	150	56.66666667	9	Shrubs_Summer17_AMRC_2_Sep11	12.8	12.1	4	39.23366473	-120.6489264	0.910792314	1.038482309	2017	4.3	16.7	2008	21
39	PIPO	AMRC	AMRC-NW	63	1598	739022	4298073	28	250	1.7	Data_Sheet_AMRC_NW_JUN_21_4	6/21/2016	9/9/9999	0	CT vf	LIDE	250	97.2	9	Shrubs_Summer17_AMRC_2_Sep11	18.6	19.9	4	39.23366473	-120.6489264	0.910792314	1.038482309	2017	11.6	51.4	2008	63
40	PIPO	AMRC	AMRC-NW	26	1598	739022	4298073	28	250	0.68	Data_Sheet_AMRC_NW_JUN_21_4	6/21/2016	9/9/9999	0	CT vf	LIDE	530	85.66037736	9	Shrubs_Summer17_AMRC_2_Sep11	6.8	6.8	4	39.23366473	-120.6489264	0.910792314	1.038482309	2017	2.8	23.2	2008	26
41	PIPO	AMRC	AMRC-NW	103	1598	739022	4298073	22	270	3.5	Data_Sheet_AMRC_NW_JUN_21_4	6/21/2016	9/9/9999	0	CT vf	LIDE	580	64.13793103	9	Shrubs_Summer17_AMRC_2_Sep11	38.1	39.7	4	39.23363463	-120.6487674	0.872844072	1.00051954	2017	12.6	90.4	2008	103
42	PIPO	AMRC	AMRC-NW	51	1598	739022	4298073	22	270	1.09	Data_Sheet_AMRC_NW_JUN_21_5	6/21/2016	9/9/9999	0	CT vf	LIDE	840	72.14285714	9	Shrubs_Summer17_AMRC_2_Sep11	11	10.8	4	39.23366719	-120.6487506	0.872843771	1.000519238	2017	11.7	39.3	2008	51
