"Shrub_species","Species","trees","prop"
"ARPA","ABCO",18,0.0239680426098535
"ARPA","PIPO",90,0.119840213049268
"CECO","ABCO",148,0.197070572569907
"CECO","PIPO",57,0.0758988015978695
"CEIN","ABCO",129,0.171770972037284
"CEIN","PIPO",116,0.154460719041278
"Other","ABCO",147,0.195739014647137
"Other","PIPO",46,0.0612516644474035
